#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Reads in subset: 100000
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	99781	1811	1.83	39248	39.33	22665	22.71	7917	7.93	28140	28.20
Mouse	99781	82637	82.82	1	0.00	0	0.00	6564	6.58	10579	10.60
Rat	99781	82036	82.23	4	0.00	2	0.00	6499	6.51	11240	11.26
Drosophila	99781	98492	98.71	1	0.00	0	0.00	119	0.12	1169	1.17
Worm	99781	98914	99.13	0	0.00	0	0.00	422	0.42	445	0.45
Yeast	99781	98646	98.86	0	0.00	0	0.00	20	0.02	1115	1.12
Arabidopsis	99781	98474	98.69	0	0.00	1	0.00	95	0.10	1211	1.21
Ecoli	99781	99779	100.00	0	0.00	1	0.00	1	0.00	0	0.00
rRNA	99781	96322	96.53	0	0.00	0	0.00	494	0.50	2965	2.97
MT	99781	84497	84.68	0	0.00	0	0.00	14200	14.23	1084	1.09
PhiX	99781	99692	99.91	88	0.09	0	0.00	1	0.00	0	0.00
Lambda	99781	99781	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	99781	98410	98.63	0	0.00	0	0.00	204	0.20	1167	1.17
Adapters	99781	98428	98.64	6	0.01	2	0.00	32	0.03	1313	1.32

%Hit_no_genomes: 0.45
