#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Reads in subset: 100000
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	99800	1421	1.43	35163	35.23	24490	24.54	6820	6.83	31906	31.97
Mouse	99800	72520	72.66	4	0.00	0	0.00	8588	8.61	18688	18.73
Rat	99800	71710	71.86	11	0.01	3	0.00	7434	7.45	20642	20.68
Drosophila	99800	96473	96.67	1	0.00	0	0.00	168	0.17	3158	3.16
Worm	99800	97369	97.56	0	0.00	0	0.00	1237	1.24	1194	1.20
Yeast	99800	96429	96.62	0	0.00	0	0.00	8	0.01	3363	3.37
Arabidopsis	99800	96112	96.30	1	0.00	0	0.00	155	0.16	3532	3.54
Ecoli	99800	99799	100.00	1	0.00	0	0.00	0	0.00	0	0.00
rRNA	99800	89114	89.29	0	0.00	0	0.00	1396	1.40	9290	9.31
MT	99800	93387	93.58	0	0.00	0	0.00	5960	5.97	453	0.45
PhiX	99800	99692	99.89	106	0.11	1	0.00	1	0.00	0	0.00
Lambda	99800	99800	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	99800	99539	99.74	0	0.00	0	0.00	229	0.23	32	0.03
Adapters	99800	99571	99.77	0	0.00	0	0.00	1	0.00	228	0.23

%Hit_no_genomes: 1.11
