#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Reads in subset: 100000
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	99760	2334	2.34	40075	40.17	20607	20.66	6576	6.59	30168	30.24
Mouse	99760	76571	76.76	17	0.02	2	0.00	7216	7.23	15954	15.99
Rat	99760	75217	75.39	6	0.01	18	0.02	5747	5.76	18772	18.82
Drosophila	99760	96334	96.57	0	0.00	0	0.00	189	0.19	3237	3.24
Worm	99760	96951	97.19	1	0.00	0	0.00	1630	1.63	1178	1.18
Yeast	99760	96106	96.34	0	0.00	1	0.00	29	0.03	3624	3.63
Arabidopsis	99760	95841	96.07	1	0.00	2	0.00	157	0.16	3759	3.77
Ecoli	99760	99756	100.00	2	0.00	0	0.00	0	0.00	2	0.00
rRNA	99760	88039	88.25	0	0.00	0	0.00	1677	1.68	10044	10.07
MT	99760	90334	90.55	0	0.00	0	0.00	8788	8.81	638	0.64
PhiX	99760	99676	99.92	83	0.08	1	0.00	0	0.00	0	0.00
Lambda	99760	99760	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	99760	99276	99.51	0	0.00	0	0.00	408	0.41	76	0.08
Adapters	99760	99321	99.56	1	0.00	0	0.00	0	0.00	438	0.44

%Hit_no_genomes: 1.83
