#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Reads in subset: 100000
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	100131	993	0.98	39229	39.18	24098	24.07	8987	8.98	26824	26.79
Mouse	100131	82466	82.36	3	0.00	0	0.00	7659	7.65	10003	9.99
Rat	100131	82220	82.12	2	0.00	1	0.00	7740	7.73	10168	10.15
Drosophila	100131	99595	99.47	0	0.00	0	0.00	152	0.15	384	0.38
Worm	100131	99789	99.66	1	0.00	0	0.00	201	0.20	140	0.14
Yeast	100131	99743	99.61	0	0.00	0	0.00	18	0.02	370	0.37
Arabidopsis	100131	99661	99.53	0	0.00	0	0.00	67	0.07	403	0.40
Ecoli	100131	100130	100.00	1	0.00	0	0.00	0	0.00	0	0.00
rRNA	100131	99110	98.98	0	0.00	0	0.00	157	0.16	864	0.86
MT	100131	86375	86.26	0	0.00	0	0.00	12947	12.93	809	0.81
PhiX	100131	100028	99.90	103	0.10	0	0.00	0	0.00	0	0.00
Lambda	100131	100131	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	100131	99967	99.84	0	0.00	0	0.00	144	0.14	20	0.02
Adapters	100131	99989	99.86	1	0.00	0	0.00	2	0.00	139	0.14

%Hit_no_genomes: 0.78
