#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Reads in subset: 100000
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	100281	4803	4.79	37224	37.12	20651	20.59	6728	6.71	30875	30.79
Mouse	100281	76078	75.87	4	0.00	0	0.00	7585	7.56	16614	16.57
Rat	100281	74771	74.56	5	0.00	2	0.00	6343	6.33	19160	19.11
Drosophila	100281	96964	96.69	0	0.00	0	0.00	177	0.18	3140	3.13
Worm	100281	97530	97.25	0	0.00	0	0.00	1541	1.54	1210	1.21
Yeast	100281	96786	96.51	0	0.00	0	0.00	27	0.03	3468	3.46
Arabidopsis	100281	96361	96.10	0	0.00	0	0.00	155	0.15	3765	3.75
Ecoli	100281	100279	100.00	2	0.00	0	0.00	0	0.00	0	0.00
rRNA	100281	88473	88.22	0	0.00	0	0.00	1620	1.62	10188	10.16
MT	100281	91216	90.96	0	0.00	0	0.00	8425	8.40	640	0.64
PhiX	100281	100180	99.90	101	0.10	0	0.00	0	0.00	0	0.00
Lambda	100281	100281	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	100281	96017	95.75	1	0.00	0	0.00	802	0.80	3461	3.45
Adapters	100281	95988	95.71	16	0.02	18	0.02	59	0.06	4200	4.19

%Hit_no_genomes: 0.59
