#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Reads in subset: 100000
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	100281	5079	5.06	36752	36.65	20794	20.74	6737	6.72	30919	30.83
Mouse	100281	75880	75.67	27	0.03	8	0.01	7705	7.68	16661	16.61
Rat	100281	74627	74.42	29	0.03	17	0.02	6402	6.38	19206	19.15
Drosophila	100281	96814	96.54	1	0.00	0	0.00	201	0.20	3265	3.26
Worm	100281	97488	97.22	1	0.00	1	0.00	1543	1.54	1248	1.24
Yeast	100281	96694	96.42	0	0.00	0	0.00	30	0.03	3557	3.55
Arabidopsis	100281	96313	96.04	0	0.00	0	0.00	170	0.17	3798	3.79
Ecoli	100281	100279	100.00	2	0.00	0	0.00	0	0.00	0	0.00
rRNA	100281	88549	88.30	0	0.00	0	0.00	1621	1.62	10111	10.08
MT	100281	91248	90.99	0	0.00	0	0.00	8373	8.35	660	0.66
PhiX	100281	100183	99.91	95	0.09	3	0.00	0	0.00	0	0.00
Lambda	100281	100281	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	100281	99297	99.02	1	0.00	0	0.00	866	0.86	117	0.12
Adapters	100281	99328	99.06	12	0.01	2	0.00	2	0.00	937	0.93

%Hit_no_genomes: 4.00
