#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Reads in subset: 100000
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	99800	1020	1.02	35660	35.73	24448	24.50	6967	6.98	31705	31.77
Mouse	99800	72684	72.83	0	0.00	1	0.00	8621	8.64	18494	18.53
Rat	99800	71728	71.87	1	0.00	2	0.00	7482	7.50	20587	20.63
Drosophila	99800	96449	96.64	0	0.00	0	0.00	188	0.19	3163	3.17
Worm	99800	97474	97.67	0	0.00	0	0.00	1155	1.16	1171	1.17
Yeast	99800	96368	96.56	0	0.00	0	0.00	17	0.02	3415	3.42
Arabidopsis	99800	96140	96.33	0	0.00	0	0.00	155	0.16	3505	3.51
Ecoli	99800	99799	100.00	1	0.00	0	0.00	0	0.00	0	0.00
rRNA	99800	89125	89.30	0	0.00	0	0.00	1426	1.43	9249	9.27
MT	99800	93360	93.55	0	0.00	0	0.00	5979	5.99	461	0.46
PhiX	99800	99687	99.89	111	0.11	1	0.00	1	0.00	0	0.00
Lambda	99800	99800	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	99800	99320	99.52	0	0.00	0	0.00	112	0.11	368	0.37
Adapters	99800	99313	99.51	8	0.01	5	0.01	23	0.02	451	0.45

%Hit_no_genomes: 0.48
